pm25,pm10,no,no2,nox,so2,co,ozone,t2m,wind_speed,humidity,precip_mm,msl,wind_dir_sin,wind_dir_cos,is_monsoon,inversion_flag,traffic_index,is_weekend,is_gazetted_holiday,is_restricted_holiday,fire_count,daily_frp,is_festival,festival_intensity,is_wedding_heavy,fire_wind_interaction,region_Central,region_East,region_North,region_South,region_West,AQI,AQI_lag1,AQI_lag2,AQI_lag3,AQI_rolling_mean_3,AQI_rolling_mean_7,pm25_lag1,pm25_lag2,pm25_lag3,pm25_rolling_mean_3,pm25_rolling_mean_7,datetime,region_name,month,day_of_week,day_of_month,hour,season,is_holiday,pm10_lag1,no2_lag1,so2_lag1,co_lag1,temp_humidity_interaction,wind_pm25_interaction,wind_aqi_interaction
125.2111111,221.4022222,16.40252315,48.24104167,38.26721065,8.677546296,1.380346878,20.98199275,24.10210333,2.062212886,63.260749,0.0,1013.759076,-0.755655107,0.65496974,0,0,5,0,1,0,0,0.0,1,4,0,0.0,False,False,False,False,True,304,339.0,357.0,356.0,333.3333333333333,267.0,170.3319444,194.09375,192.5727183,185.6661375666666,117.39641774,2023-10-24,West,10,1,24,0,4,1,284.0925595,50.89655093,7.440740741,1.380838869,1524.717109131194,258.21196678079764,626.912717344
140.284838,254.5934028,11.95445602,49.71101852,35.50309028,6.698032407,1.106225556,22.49986413,24.14873552,2.326788911,63.9766613,0.0,1014.525822,-0.663664183,0.748030649,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,316,304.0,339.0,357.0,319.6666666666667,296.57142857142856,125.2111111,170.3319444,194.09375,163.2122684999999,129.14385393571428,2023-10-25,West,10,2,25,0,4,0,221.4022222,48.24104167,8.677546296,1.380346878,1544.9554731863193,326.4132054398314,735.265295876
146.2853915,263.7306763,19.97861111,53.46087963,44.07525463,7.431129227,1.718372081,20.38889392,23.64539823,2.457429777,58.47390327,0.0,1013.978289,-0.635584045,0.772031684,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,320,316.0,304.0,339.0,313.3333333333333,325.7142857142857,140.284838,125.2111111,170.3319444,145.2759644999999,141.88285857,2023-10-26,West,10,3,26,0,4,0,254.5934028,49.71101852,6.698032407,1.106225556,1382.6387288816493,359.4860770122027,786.37752864
168.544213,336.7974537,43.194375,60.80069444,67.07021991,9.185,1.636064312,31.18002818,23.63576729,1.824829384,53.73163198,0.0,1013.303485,-0.822299719,0.56905463,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,337,320.0,316.0,304.0,324.3333333333333,332.7142857142857,146.2853915,140.284838,125.2111111,137.26044686666657,155.0181559,2023-10-27,West,10,4,27,0,4,0,263.7306763,53.46087963,7.431129227,1.718372081,1269.988349591202,307.5644323855548,614.967502408
203.8145833,406.1567417,88.33363426,65.45144676,106.4523843,9.932638889,1.892772746,35.06658951,24.14136792,0.298221374,58.37683018,0.0,1013.730432,-0.065746752,0.997836342,0,0,1,1,1,0,1,0.44,0,0,0,3.353213714,False,False,False,False,True,370,337.0,320.0,316.0,342.3333333333333,334.7142857142857,168.544213,146.2853915,140.284838,151.70481416666658,162.47485232857142,2023-10-28,West,10,5,28,0,4,1,336.7974537,60.80069444,9.185,1.636064312,1409.29653537874,60.781865072963456,110.34190837999999
220.60625,447.5329861,92.43303241,79.05673611,116.9876389,7.807935789,1.768948604,59.85545322,24.41797781,1.09296505,62.02218405,0.0,1013.652495,-0.265000588,-0.96424825,0,0,3,1,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,422,370.0,337.0,320.0,376.3333333333333,344.0,203.8145833,168.544213,146.2853915,172.88139593333324,164.08083304285717,2023-10-29,West,10,6,29,0,4,0,406.1567417,65.45144676,9.932638889,1.892772746,1514.4563138606359,241.1149210615625,461.23125110000007
250.098279,441.0770833,47.68327546,74.82465278,78.19241898,7.084375,1.40010618,64.69267361,24.98711198,1.223705543,64.03109609,0.142335646,1014.505619,-0.589123137,-0.808043272,0,0,4,0,0,0,1,0.48,0,0,0,0.817190055,False,False,False,False,True,414,422.0,370.0,337.0,402.0,354.7142857142857,220.60625,203.8145833,168.544213,197.65501543333323,167.86833304285716,2023-10-30,West,10,0,30,0,4,0,447.5329861,79.05673611,7.807935789,1.768948604,1599.9521682029704,306.0466503070605,506.61409480199995
248.2164624,432.78125,56.86538043,69.13615036,82.64928442,8.758177335,1.660162756,49.05591787,24.99742135,1.316941592,65.28500214,0.212061319,1015.87831,0.041213043,-0.999150382,0,0,4,0,0,0,1,0.52,0,0,0,0.759335119,False,False,False,False,True,403,414.0,422.0,370.0,413.0,368.85714285714283,250.098279,220.60625,203.8145833,224.83970409999992,179.26352369999998,2023-10-31,West,10,1,31,0,4,0,441.0770833,74.82465278,7.084375,1.40010618,1631.9567063292318,326.88658315366416,530.727461576
245.0,419.6889957,41.16818287,63.57978009,66.8812963,8.867361111,1.45294686,44.61957729,24.64573104,1.078547292,67.03131245,0.0,1015.92903,-0.4489533,-0.893555222,0,0,4,0,0,0,0,0.0,1,3,0,0.0,False,False,False,False,True,396,403.0,414.0,422.0,404.3333333333333,380.2857142857143,248.2164624,250.098279,220.60625,239.64033046666657,196.8357167428572,2023-11-01,West,11,2,1,0,4,0,432.78125,69.13615036,8.758177335,1.660162756,1652.0356979009036,264.24408654,427.10472763200005
379.0069444,581.0514644,56.588125,70.71251157,83.27228009,8.619061997,2.127050944,25.89789704,24.016205,1.619713322,68.76890625,0.002413814,1013.966571,-0.799591717,0.600543992,0,0,4,0,0,0,1,0.71,0,0,0,0.617393206,False,False,False,False,True,589,396.0,403.0,414.0,462.6666666666667,418.7142857142857,245.0,248.2164624,250.098279,247.77158046666656,211.7950256,2023-11-02,West,11,3,2,0,4,0,419.6889957,63.57978009,8.867361111,1.45294686,1651.5681501257811,613.8825969751933,954.011146658
